file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\sharding\core\src\test\java\org\apache\shardingsphere\sharding\merge\dql\pagination\RowNumberDecoratorMergedResultTest.java,org.apache.shardingsphere.sharding.merge.dql.pagination.RowNumberDecoratorMergedResultTest,class,26,27,1,26,7,1,0,26,15,0.0,0.0,0.0,6,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,8,114,2,1,0,0,0,13,30,43,0,43,1,0,0,0,61,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\rewrite\src\test\java\org\apache\shardingsphere\infra\rewrite\sql\token\generator\SQLTokenGeneratorsTest.java,org.apache.shardingsphere.infra.rewrite.sql.token.generator.SQLTokenGeneratorsTest,class,8,8,0,8,2,1,0,19,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,6,2,8,0,8,0,0,0,0,24,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\rewrite\src\test\java\org\apache\shardingsphere\infra\rewrite\engine\GenericSQLRewriteEngineTest.java,org.apache.shardingsphere.infra.rewrite.engine.GenericSQLRewriteEngineTest,class,16,17,1,16,3,1,0,22,3,0.0,0.0,0.0,3,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,37,1,0,0,0,0,6,0,14,0,14,0,0,0,0,39,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\dialect\mysql\src\test\java\org\apache\shardingsphere\data\pipeline\mysql\ingest\MySQLIngestPositionManagerTest.java,org.apache.shardingsphere.data.pipeline.mysql.ingest.MySQLIngestPositionManagerTest,class,8,9,1,8,4,1,0,17,0,0.55,0.0,0.0,4,0,0,2,0,2,2,0,0,0,5,3,0,5,0,0,3,0,0,38,2,0,0,0,0,4,5,11,0,13,0,0,0,0,53,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\database\core\src\main\java\org\apache\shardingsphere\infra\database\core\metadata\data\model\SchemaMetaData.java,org.apache.shardingsphere.infra.database.core.metadata.data.model.SchemaMetaData,class,5,12,7,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\scenario\consistencycheck\src\main\java\org\apache\shardingsphere\data\pipeline\scenario\consistencycheck\ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,class,6,7,1,6,6,1,0,5,0,0.55,0.0,0.0,5,1,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,2,23,2,0,0,0,0,0,1,4,2,4,0,0,0,0,21,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\execute\AbstractPipelineLifecycleRunnable.java,org.apache.shardingsphere.data.pipeline.core.execute.AbstractPipelineLifecycleRunnable,class,3,13,10,3,12,1,8,14,9,0.5833334,0.0,0.0,6,0,3,0,3,0,6,2,3,0,2,0,0,2,0,0,1,0,5,39,4,0,3,1,0,2,0,5,1,5,1,0,0,0,30,1025,2
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\ingest\dumper\inventory\InventoryDumper.java,org.apache.shardingsphere.data.pipeline.core.ingest.dumper.inventory.InventoryDumper,class,29,32,3,29,36,2,0,72,0,0.66071427,0.0,0.0,8,0,1,5,2,0,3,0,0,0,7,0,0,7,0,0,7,0,10,134,10,2,12,3,2,9,12,32,3,31,4,0,0,2,97,17,4
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\sharding\core\src\main\java\org\apache\shardingsphere\sharding\rewrite\token\generator\impl\OrderByTokenGenerator.java,org.apache.shardingsphere.sharding.rewrite.token.generator.impl.OrderByTokenGenerator,class,9,11,2,9,10,1,0,25,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,44,3,1,0,0,2,0,2,11,1,5,2,0,0,0,33,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\parser\src\test\java\org\apache\shardingsphere\infra\parser\sql\SQLStatementParserEngineFactoryTest.java,org.apache.shardingsphere.infra.parser.sql.SQLStatementParserEngineFactoryTest,class,5,5,0,5,2,1,0,4,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,4,13,0,0,0,0,0,1,16,5,0,5,0,0,0,0,19,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\sharding\core\src\test\java\org\apache\shardingsphere\sharding\rewrite\token\generator\ShardingInsertValuesTokenGeneratorTest.java,org.apache.shardingsphere.sharding.rewrite.token.generator.ShardingInsertValuesTokenGeneratorTest,class,10,10,0,10,2,1,0,26,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,2,2,8,10,0,9,0,0,0,0,31,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\rewrite\src\main\java\org\apache\shardingsphere\infra\rewrite\sql\token\generator\generic\RemoveTokenGenerator.java,org.apache.shardingsphere.infra.rewrite.sql.token.generator.generic.RemoveTokenGenerator,class,10,13,3,10,22,1,0,21,10,0.0,0.0,0.0,5,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,59,5,2,0,0,7,0,4,15,4,13,2,0,0,1,33,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\consistencycheck\table\calculator\SingleTableInventoryCalculator.java,org.apache.shardingsphere.data.pipeline.core.consistencycheck.table.calculator.SingleTableInventoryCalculator,interface,3,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\exception\core\src\test\java\org\apache\shardingsphere\infra\exception\core\external\sql\type\feature\FeatureSQLExceptionTest.java,org.apache.shardingsphere.infra.exception.core.external.sql.type.feature.FeatureSQLExceptionTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\algorithm\message-digest\type\md5\src\main\java\org\apache\shardingsphere\infra\algorithm\messagedigest\md5\MD5MessageDigestAlgorithm.java,org.apache.shardingsphere.infra.algorithm.messagedigest.md5.MD5MessageDigestAlgorithm,class,1,1,0,1,4,1,0,2,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,13,2,0,1,0,0,3,0,2,1,2,0,0,0,0,25,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\mask\core\src\main\java\org\apache\shardingsphere\mask\algorithm\cover\MaskFirstNLastMMaskAlgorithm.java,org.apache.shardingsphere.mask.algorithm.cover.MaskFirstNLastMMaskAlgorithm,class,4,5,1,4,10,1,0,12,13,0.75,0.0,0.0,6,0,3,3,0,0,3,0,0,0,6,3,0,6,0,0,3,0,8,42,6,2,1,0,0,4,2,13,1,11,1,0,0,0,42,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\dialect\postgresql\src\test\java\org\apache\shardingsphere\data\pipeline\postgresql\ingest\wal\decode\TestDecodingPluginTest.java,org.apache.shardingsphere.data.pipeline.postgresql.ingest.wal.decode.TestDecodingPluginTest,class,16,16,0,16,11,1,0,20,0,0.5,0.0,0.0,11,0,0,0,0,11,11,0,0,0,2,0,0,2,0,0,2,0,11,78,0,0,0,0,1,27,20,23,1,23,0,0,0,2,53,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\shadow\distsql\handler\src\main\java\org\apache\shardingsphere\shadow\distsql\handler\checker\ShadowRuleStatementChecker.java,org.apache.shardingsphere.shadow.distsql.handler.checker.ShadowRuleStatementChecker,class,7,13,6,7,12,1,0,32,36,0.0,0.0,0.0,9,9,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,41,4,1,0,0,0,2,1,7,0,10,1,0,0,8,63,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\rewrite\src\main\java\org\apache\shardingsphere\infra\rewrite\sql\impl\AbstractSQLBuilder.java,org.apache.shardingsphere.infra.rewrite.sql.impl.AbstractSQLBuilder,class,9,16,7,9,13,1,2,21,3,0.5833333,0.0,0.0,6,0,1,4,1,0,2,1,1,0,2,0,0,2,0,0,2,0,2,45,6,2,1,0,2,0,5,4,3,6,2,0,0,0,30,1025,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\agent\plugins\metrics\core\src\main\java\org\apache\shardingsphere\agent\plugin\metrics\core\collector\type\GaugeMetricFamilyMetricsCollector.java,org.apache.shardingsphere.agent.plugin.metrics.core.collector.type.GaugeMetricFamilyMetricsCollector,interface,1,15,14,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\broadcast\distsql\handler\src\main\java\org\apache\shardingsphere\broadcast\distsql\handler\update\CreateBroadcastTableRuleExecutor.java,org.apache.shardingsphere.broadcast.distsql.handler.update.CreateBroadcastTableRuleExecutor,class,9,11,2,9,11,1,0,15,19,0.78571427,0.0,0.0,7,0,4,3,0,0,4,0,0,0,2,0,0,2,0,0,0,0,2,37,5,0,2,0,0,1,0,4,0,6,1,0,0,2,35,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\common\src\test\java\org\apache\shardingsphere\infra\metadata\database\schema\util\SchemaMetaDataUtilsTest.java,org.apache.shardingsphere.infra.metadata.database.schema.util.SchemaMetaDataUtilsTest,class,12,13,1,12,7,1,0,25,21,0.0,0.0,0.0,7,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,67,4,0,0,0,0,28,7,24,0,24,0,0,0,0,45,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\sharding\core\src\main\java\org\apache\shardingsphere\sharding\exception\syntax\InsertSelectTableViolationException.java,org.apache.shardingsphere.sharding.exception.syntax.InsertSelectTableViolationException,class,1,2,1,1,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,2,1,0,1,0,0,0,0,27,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\binder\src\main\java\org\apache\shardingsphere\infra\binder\segment\lock\LockSegmentBinder.java,org.apache.shardingsphere.infra.binder.segment.lock.LockSegmentBinder,class,5,5,0,5,1,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,2,0,3,0,0,0,1,26,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\binder\src\main\java\org\apache\shardingsphere\infra\binder\context\statement\dml\CopyStatementContext.java,org.apache.shardingsphere.infra.binder.context.statement.dml.CopyStatementContext,class,7,9,2,7,3,2,0,4,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,2,0,0,0,0,0,0,1,0,1,0,0,0,0,16,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\common\src\main\java\org\apache\shardingsphere\infra\metadata\database\schema\manager\SystemSchemaManager.java,org.apache.shardingsphere.infra.metadata.database.schema.manager.SystemSchemaManager,class,2,5,3,2,17,1,0,35,0,0.5,0.0,0.0,6,6,5,1,0,0,6,0,0,0,3,3,0,3,0,0,3,0,21,56,9,3,2,1,0,7,7,10,0,30,2,0,0,20,59,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\importer\SingleChannelConsumerImporter.java,org.apache.shardingsphere.data.pipeline.core.importer.SingleChannelConsumerImporter,class,9,10,1,9,5,2,0,11,0,0.4,0.0,0.0,2,0,0,0,2,0,2,0,0,0,5,0,0,5,0,0,5,0,0,24,0,1,0,0,0,1,1,2,1,7,2,0,0,0,31,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\common\src\test\java\org\apache\shardingsphere\infra\yaml\schema\swapper\YamlSchemaSwapperTest.java,org.apache.shardingsphere.infra.yaml.schema.swapper.YamlSchemaSwapperTest,class,10,11,1,10,7,1,0,49,17,0.71428573,0.0,0.0,7,0,0,3,0,4,4,0,0,0,2,2,0,2,0,0,2,0,8,61,1,0,0,0,0,21,8,12,1,13,0,0,0,1,41,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\exception\dialect\core\src\main\java\org\apache\shardingsphere\infra\exception\dialect\exception\syntax\table\NoSuchTableException.java,org.apache.shardingsphere.infra.exception.dialect.exception.syntax.table.NoSuchTableException,class,3,5,2,3,0,6,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,0,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,17,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\binder\src\test\java\org\apache\shardingsphere\infra\binder\context\statement\ddl\CreateIndexStatementContextTest.java,org.apache.shardingsphere.infra.binder.context.statement.ddl.CreateIndexStatementContextTest,class,12,13,1,12,5,1,0,22,10,0.0,0.0,0.0,5,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,2,4,2,0,3,0,0,0,1,27,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\agent\plugins\core\src\main\java\org\apache\shardingsphere\agent\plugin\core\advice\AbstractStaticMethodAdvice.java,org.apache.shardingsphere.agent.plugin.core.advice.AbstractStaticMethodAdvice,class,3,4,1,3,1,1,1,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1025,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\db-protocol\core\src\test\java\org\apache\shardingsphere\db\protocol\codec\PacketCodecTest.java,org.apache.shardingsphere.db.protocol.codec.PacketCodecTest,class,10,10,0,10,4,1,0,12,0,0.125,0.0,0.0,4,0,0,0,0,4,4,0,0,0,4,0,0,4,0,0,0,0,4,26,0,0,0,0,0,0,5,2,0,5,0,0,0,0,28,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\db-protocol\mysql\src\test\java\org\apache\shardingsphere\db\protocol\mysql\payload\MySQLPacketPayloadTest.java,org.apache.shardingsphere.db.protocol.mysql.payload.MySQLPacketPayloadTest,class,7,7,0,7,40,1,0,58,0,0.0,0.0,0.0,40,0,0,0,0,40,40,0,0,0,1,0,0,1,0,0,0,0,12,171,0,0,0,0,0,20,85,0,6,1,0,0,0,2,57,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\exception\metadata\NoAnyRuleExistsException.java,org.apache.shardingsphere.data.pipeline.core.exception.metadata.NoAnyRuleExistsException,class,1,1,0,1,1,2,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,6,0,0,0,0,0,1,2,1,0,1,0,0,0,0,23,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\binder\src\main\java\org\apache\shardingsphere\infra\binder\context\segment\select\pagination\PaginationContext.java,org.apache.shardingsphere.infra.binder.context.segment.select.pagination.PaginationContext,class,8,22,14,8,28,1,0,16,21,0.70909095,0.0,0.0,11,0,9,2,0,0,9,0,0,0,5,0,0,5,0,0,5,0,8,60,15,0,7,0,6,0,6,6,3,6,1,0,0,0,43,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\db-protocol\postgresql\src\main\java\org\apache\shardingsphere\db\protocol\postgresql\constant\PostgreSQLArrayColumnType.java,org.apache.shardingsphere.db.protocol.postgresql.constant.PostgreSQLArrayColumnType,class,1,3,2,1,2,1,0,4,0,0.0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,91,1,0,0,0,0,83,84,1,0,1,0,0,0,0,34,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\algorithm\key-generator\type\snowflake\src\main\java\org\apache\shardingsphere\infra\algorithm\keygen\snowflake\TimeService.java,org.apache.shardingsphere.infra.algorithm.keygen.snowflake.TimeService,class,0,2,2,0,1,1,1,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\distsql-handler\src\main\java\org\apache\shardingsphere\distsql\handler\engine\query\ral\convert\AlgorithmDistSQLConverter.java,org.apache.shardingsphere.distsql.handler.engine.query.ral.convert.AlgorithmDistSQLConverter,class,2,2,0,2,3,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,2,13,2,0,1,0,0,3,0,4,0,4,1,0,0,0,34,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\db-protocol\core\src\main\java\org\apache\shardingsphere\db\protocol\event\WriteCompleteEvent.java,org.apache.shardingsphere.db.protocol.event.WriteCompleteEvent,class,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\util\src\test\java\org\apache\shardingsphere\infra\util\reflection\ReflectionUtilsTest.java,org.apache.shardingsphere.infra.util.reflection.ReflectionUtilsTest,class,3,3,0,3,4,1,0,11,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,17,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\encrypt\core\src\test\java\org\apache\shardingsphere\encrypt\yaml\swapper\YamlEncryptDataNodeRuleConfigurationSwapperTest.java,org.apache.shardingsphere.encrypt.yaml.swapper.YamlEncryptDataNodeRuleConfigurationSwapperTest,class,9,10,1,9,5,1,0,26,0,0.2,0.0,0.0,5,0,0,1,0,4,4,0,0,0,1,0,0,1,0,0,1,0,4,40,1,0,0,0,0,25,6,10,1,10,0,0,0,0,39,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\readwrite-splitting\core\src\main\java\org\apache\shardingsphere\readwritesplitting\metadata\nodepath\ReadwriteSplittingRuleNodePathProvider.java,org.apache.shardingsphere.readwritesplitting.metadata.nodepath.ReadwriteSplittingRuleNodePathProvider,class,2,2,0,2,1,1,0,2,0,0.75,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,4,3,1,0,0,4,0,2,9,1,0,0,0,0,3,0,4,0,4,0,0,0,0,27,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\shadow\core\src\main\java\org\apache\shardingsphere\shadow\condition\ShadowDetermineCondition.java,org.apache.shardingsphere.shadow.condition.ShadowDetermineCondition,class,4,5,1,4,3,1,0,1,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,3,0,0,18,2,0,0,0,0,0,0,4,0,4,0,0,0,0,20,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\algorithm\core\src\main\java\org\apache\shardingsphere\infra\algorithm\core\exception\type\InvalidAlgorithmConfigurationException.java,org.apache.shardingsphere.infra.algorithm.core.exception.type.InvalidAlgorithmConfigurationException,class,1,4,3,1,2,3,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,2,3,1,0,1,0,0,0,0,15,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\agent\plugins\metrics\core\src\main\java\org\apache\shardingsphere\agent\plugin\metrics\core\advice\jdbc\AbstractExecuteCountAdvice.java,org.apache.shardingsphere.agent.plugin.metrics.core.advice.jdbc.AbstractExecuteCountAdvice,class,6,10,4,6,2,2,2,4,1,0.5,0.0,0.0,2,0,1,0,1,0,2,1,0,0,1,0,0,1,0,0,1,0,2,7,0,0,0,0,0,3,0,1,0,1,0,0,0,0,24,1025,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\infra\url\core\src\main\java\org\apache\shardingsphere\infra\url\core\ShardingSphereURL.java,org.apache.shardingsphere.infra.url.core.ShardingSphereURL,class,3,8,5,3,9,1,0,14,6,0.8333333,NaN,NaN,4,4,1,3,0,0,1,0,0,0,3,0,0,3,0,0,3,0,3,35,6,1,0,0,0,5,7,6,3,9,2,0,0,0,26,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\consistencycheck\table\calculator\CalculationContext.java,org.apache.shardingsphere.data.pipeline.core.consistencycheck.table.calculator.CalculationContext,class,2,2,0,2,6,1,0,7,1,0.5555556,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,3,25,2,0,0,0,0,0,0,3,0,3,0,0,0,0,17,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\features\broadcast\core\src\main\java\org\apache\shardingsphere\broadcast\yaml\swapper\YamlBroadcastDataNodeRuleConfigurationSwapper.java,org.apache.shardingsphere.broadcast.yaml.swapper.YamlBroadcastDataNodeRuleConfigurationSwapper,class,7,9,2,7,9,1,0,19,15,0.8333333,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,5,33,8,1,0,0,0,1,0,4,0,5,2,0,0,1,34,17,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\agent\core\src\test\java\org\apache\shardingsphere\agent\core\advisor\config\yaml\loader\YamlAdvisorsConfigurationLoaderTest.java,org.apache.shardingsphere.agent.core.advisor.config.yaml.loader.YamlAdvisorsConfigurationLoaderTest,class,9,10,1,9,7,1,0,32,15,0.0,0.0,0.0,6,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,10,45,1,1,0,0,0,23,18,5,0,5,1,0,0,0,37,0,0
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere\jdbc\src\test\java\org\apache\shardingsphere\driver\jdbc\adapter\PreparedStatementAdapterTest.java,org.apache.shardingsphere.driver.jdbc.adapter.PreparedStatementAdapterTest,class,17,18,1,17,26,1,0,64,0,0.03846154,0.0,0.0,26,0,0,1,0,25,25,0,0,0,1,0,0,1,0,0,0,0,6,166,0,0,0,4,1,13,119,12,1,12,1,0,0,0,77,0,0
